A14,01825,8,39
A14,02357,5,17
A14,03489,9,53
A14,05753,10,64
A14,06885,12,95
A14,07917,6,25
A14,08049,7,27
A14,09181,10,84
A14,11445,9,52
A14,12577,8,29
A14,13709,7,32
A14,14841,9,62
A14,15973,10,19
A14,17105,9,29
A14,18237,7,33
A14,19369,6,14
A14,21633,8,33
A14,22765,10,67
A14,23897,5,10
A14,27293,6,10
A14,28425,8,24
A14,29557,7,16
A14,30689,6,16
B27,01825,8,39
B27,02357,5,17
B27,03489,9,53
B27,04621,7,19
B27,05753,10,64
B27,06885,12,95
B27,07917,6,25
B27,08049,7,27
B27,09181,10,84
B27,10313,8,23
B27,11445,9,52
B27,12577,8,29
B27,13709,7,32
B27,14841,9,62
B27,15973,10,19
B27,17105,9,29
B27,18237,7,33
B27,19369,6,14
B27,20501,11,58
B27,21633,8,33
B27,22765,10,67
B27,23897,5,10
B27,25029,4,5
B27,27293,6,10
B27,28425,8,24
B27,29557,7,16
B27,30689,6,16
B27,31821,9,17
B27,32411,6,15
C42,01825,8,39
C42,02357,5,17
C42,03489,9,53
C42,04621,7,19
C42,05753,10,64
C42,06885,12,95
C42,07917,6,25
C42,08049,7,27
C42,09181,10,84
C42,10313,8,23
C42,11445,9,52
C42,12577,8,29
C42,13709,7,32
C42,14841,9,62
C42,15973,10,19
C42,17105,9,29
C42,18237,7,33
C42,19369,6,14
C42,20501,11,58
C42,21633,8,33
C42,22765,10,67
C42,23897,5,10
C42,25029,4,5
C42,27293,6,10
C42,28425,8,24
C42,29557,7,16
C42,30689,6,16
C42,31821,9,17
C42,32411,6,15
D55,01825,8,39
D55,02357,5,17
D55,03489,9,53
D55,04621,7,19
F81,01825,8,39
F81,02357,5,17
F81,03489,9,53
F81,04621,7,19
F81,05753,10,64
F81,06885,12,95
F81,07917,6,25
F81,08049,7,27
F81,09181,10,84
F81,10313,8,23
F81,11445,9,52
F81,12577,8,29
F81,13709,7,32
F81,14841,9,62
F81,15973,10,19
F81,17105,9,29
F81,18237,7,33
F81,19369,6,14
F81,20501,11,58
F81,21633,8,33
F81,22765,10,67
F81,23897,5,10
F81,25029,4,5
F81,27293,6,10
F81,28425,8,24
F81,29557,7,16
F81,30689,6,16
F81,31821,9,17
