B27,002357,10,15
B27,017105,8,12
B27,023897,5,9
B27,031821,7,11
B27,032411,6,10
F81,005753,9,14
F81,008049,12,18
F81,013709,6,10
F81,018237,8,13
F81,021633,10,15
K146,003489,10,15
K146,006885,7,11
K146,011445,9,14
K146,015973,8,12
K146,022765,6,10
M172,003489,7,11
M172,007917,5,9
M172,015973,10,16
M172,020501,6,10
M172,022765,8,12
U276,001825,8,13
U276,005753,10,16
U276,009181,7,11
U276,015973,9,14
U276,020501,6,10
X315,001825,8,13
X315,004621,10,16
X315,010313,7,11
X315,014841,5,9
X315,027293,9,14
Z341,004621,8,12
Z341,007917,10,16
Z341,013709,7,11
Z341,018237,9,14
Z341,021633,5,9
AC380,001825,9,14
AC380,005753,7,11
AC380,009181,6,10
AC380,015973,8,13
AC380,020501,10,15
AD393,002357,10,15
AD393,006885,8,12
AD393,011445,5,9
AD393,013709,7,11
AD393,018237,6,10
